Timestamp,ksurf-master1 CPU (m),ksurf-master1 Memory (MiB),ksurf-producer-aea9655c CPU (m),ksurf-producer-aea9655c Memory (MiB),ksurf-worker2-27aec434 CPU (m),ksurf-worker2-27aec434 Memory (MiB),ksurf-producer1-ede6efb4 CPU (m),ksurf-producer1-ede6efb4 Memory (MiB)
2024-12-14 00:22:59,782,3086,1074,2647,11,696,-,-
2024-12-14 00:23:01,782,3086,1074,2647,11,696,-,-
2024-12-14 00:23:04,782,3086,1074,2647,11,696,-,-
2024-12-14 00:23:06,782,3086,1074,2647,11,696,-,-
2024-12-14 00:23:08,782,3086,1074,2647,11,696,-,-
2024-12-14 00:23:10,782,3086,1074,2647,11,696,-,-
2024-12-14 00:23:12,1020,3381,1058,2665,24,695,-,-
2024-12-14 00:23:15,1020,3381,1058,2665,24,695,-,-
2024-12-14 00:23:17,1020,3381,1058,2665,24,695,-,-
2024-12-14 00:23:19,1020,3381,1058,2665,24,695,-,-
2024-12-14 00:23:21,1020,3381,1058,2665,24,695,-,-
2024-12-14 00:23:23,1020,3381,1058,2665,24,695,-,-
2024-12-14 00:23:26,1020,3381,1058,2665,24,695,-,-
2024-12-14 00:23:28,926,3087,1621,2938,10,696,-,-
2024-12-14 00:23:30,926,3087,1621,2938,10,696,-,-
2024-12-14 00:23:32,926,3087,1621,2938,10,696,-,-
2024-12-14 00:23:34,926,3087,1621,2938,10,696,-,-
2024-12-14 00:23:36,926,3087,1621,2938,10,696,-,-
2024-12-14 00:23:39,926,3087,1621,2938,10,696,-,-
2024-12-14 00:23:41,926,3087,1621,2938,10,696,-,-
2024-12-14 00:23:43,756,3088,1230,2648,26,695,-,-
2024-12-14 00:23:45,756,3088,1230,2648,26,695,-,-
2024-12-14 00:23:47,756,3088,1230,2648,26,695,-,-
2024-12-14 00:23:50,756,3088,1230,2648,26,695,-,-
2024-12-14 00:23:52,756,3088,1230,2648,26,695,-,-
2024-12-14 00:23:54,756,3088,1230,2648,26,695,-,-
2024-12-14 00:23:56,756,3088,1230,2648,26,695,-,-
2024-12-14 00:23:58,768,3088,1229,2919,9,696,-,-
2024-12-14 00:24:00,768,3088,1229,2919,9,696,-,-
2024-12-14 00:24:03,768,3088,1229,2919,9,696,-,-
2024-12-14 00:24:05,768,3088,1229,2919,9,696,-,-
2024-12-14 00:24:07,768,3088,1229,2919,9,696,-,-
2024-12-14 00:24:09,768,3088,1229,2919,9,696,-,-
